Text,No of words,No of questoning words,label,question mark
Amplitude. ,1,0,answer,TRUE
Yes sir,2,0,answer,TRUE
"Like higher the frequency like it corresponds to higher pitch and so even in the amplitude will get to know. Ohh, whether the pitch is high or low",28,0,answer,TRUE
pitch.. It. Like producing sound. ,5,0,answer,TRUE
Pitch is related to amplitude or pitch is related to frequency. ,11,0,answer,TRUE
And even frequency also,4,0,answer,TRUE
"Speech will be the same, but then frequency intensity like based on the graph it differs like the visualization plot. ",20,0,answer,TRUE
"Rectangular window and then cosine windowLike in the rectangular window, you can't get and then even Mel frequency MFCC. Also they will be trying that plot. . ",27,0,answer,TRUE
3. ,1,0,answer,TRUE
Cosine window or hamming window. ,5,0,answer,TRUE
Because it has overlapping sequences so that we'll get to know which sequence comes after which one. Like if we do windowing and all we can we can keep track of the signal. ,33,2,answer,TRUE
"Yeah, we can do.",4,0,answer,TRUE
"I'm not very sure, Sir. ",5,0,answer,TRUE
The probability of consuming proxy is 12 by 20. Whereas consuming chips is 8 by 20. ,16,0,answer,TRUE
"And all, and also these types of problems can be solved using hmm. ",13,0,answer,TRUE
"Conditional probability is like it measures the likelihood of an event, Sir. Because as you said during sunny, you buy this and during maybe a hot day you buy this. Actually it says that for a particular instant how it's going to occur. OK, suppose you can say that first thing buying less is an event day and something other thing. Buying some other thing is an event B. Then you can describe conditional probability as like B of a intersection B / P of B. ",86,1,answer,TRUE
Some moral of the story is that we can find the likelihood of event occurring given that. That has already occurred. ,21,0,answer,TRUE
Yes. Then if it's independent of each other then it will be P of A given B equal to P of A into P of B. ,26,0,answer,TRUE
"yes sir. P of A intersection B will be P of A into P of B As its independent, they both are having. ",23,0,answer,TRUE
"So when they are dependent, it will be dependent on intersection. When it's independent, A given B will be just B of A because it's independent of P of B. Then if we take P of B given A, then it will be P of B as it's independent. Of P of A. When they both are dependent on each other, then we can we have to take the intersection. ",70,3,answer,TRUE
"Mode. Yes, yes. Mean, median mode actually actually mode is we use mode in statistics.actually it says that. The value that appears mostly in the particular that we can say that's the most occurred in the data. ",37,0,answer,TRUE
"Sir, I don't have exact idea. ",6,0,answer,TRUE
"It's a function overloading is nothing, but it's a concept where we can have two functions with same name, but it should differ either in number of arguments or type of the argument that's called function overloading. Suppose if you have a function such as int, add of int, a comma, int B, then you can have another function with the same name that is. But it should differ in number of arguments. That's India, including C or otherwise it's. It should differ in type of argument that string a string B like that. That's called function overloading. ",98,1,answer,TRUE
"Short term Fourier transform, Sir. I know what is Fourier transform. Signal representation from time domain to frequency domain is Fourier transform. Short term Fourier transfer. I'm not so sure so. ",31,1,answer,TRUE
Helping make it. Show that the frequency component of the signal in a better manner. So by doing the frequency analysis we can get to know various things about the signal. ,31,0,answer,TRUE
I'm not sure ,3,0,answer,TRUE
Not sure. ,2,0,answer,TRUE
So there is a a filter that what you say. Suppose there's a network N cross N so one cross north. Layer is I'm not sure if it's clear. It is slided throughout the 5 + 5 matrix. So yes Sir convolution. I think so happens. ,46,1,answer,TRUE
Not sure Sir,3,0,answer,TRUE
So. Dot products are it is like uh. Uh. Not sure how to put in words. ,16,1,answer,TRUE
"So dot product is like simple multiplication of two things, whereas in convolution we're sliding 1. Thing across so to get an output. ",23,0,answer,TRUE
"Yeah. Yeah. So in what do you say in convolution? If you're doing linear convolution, if you're convoluting between two different matrices, the length of the maximum length of the output can be. Suppose the length of the first matrix is L1 and 2nd matrix is L2. The maximum length of the output I mean the length of the output will be L1. Yes. No, yeah, LL 2 -. L one plus one. Whereas in if you do circular convolution, the both of the material length have. To be same. Right. And again in dot product, I guess, Sir, it should be same the length of both of them. ",109,1,answer,TRUE
So dot produces scalar value. ,5,0,answer,TRUE
"Sir, if you work with work, and I mean. I'm not sure, maybe somewhere it has application in. Electrical engineering, part of what shows. ",24,1,answer,TRUE
"So stemming is basically chopping it topic screw chopping, Sir. So suppose we have words like running ran. It will be chopped out to run, so we are not losing the information make like make it simpler. Whereas in limitation suppose the words are is am, be. All are chopped off to bee. So it is more computationally intensive and better than standing. ",63,0,answer,TRUE
"For a single. Yes, Sir. I mean, if you call, you can. ",12,0,answer,TRUE
I mean. I guess I'm not sure. ,7,0,answer,TRUE
"Means. So we produce speech from blank, so I guess it's one side length. ",14,0,answer,TRUE
"So you're saying that if you blow through the top side like, the air will come to the other side, you're saying, Sir?",23,0,question,TRUE
"OK.Only one side is open through our mouth, so I think that's one side only. ",15,0,answer,TRUE
"Yes, Sir. ",2,0,answer,TRUE
"So baye's theorem. Basically it is coming down to. It is saying that when when you're taking a probability distribution or probability curve that. The probability the dependencies of the probability, like if you're taking. Uh. Is it if you're having a conditional probability Basically, if A is given so that B is given, you're taking it such that probability of a given B probability of a given B is the probability of a by probability of a divided by probability of B. It's a whatever. It basically talks about you having the knowledge of. And you having the information of the prior event which has occurred so that you can find the probability of the event which is occurring in the future. ",123,4,answer,TRUE
"So basically probability of. Like I'm being very vague about it, like I'll be able to write as a formula down, but while explaining I'm getting a little vague. So basically it's property of",34,0,answer,TRUE
"Yeah.So basically when it comes down to it is, you will have probability of. E given A is equal to the probability of the call. E / E divided by probability of the probability of E given a divided by probability of. Probably. If a into probability of a divided by the probability of a. So when you're having two events where one is related to the other, you're taking the probability of two the two independent events dividing it by the probability of the initial event happening. So this way it helps you establish a relation between the chain of events which are occurring. ",105,4,answer,TRUE
Event A has happened,4,0,answer,TRUE
"Yeah, because like if A&B are happening are have are, are independent and you're saying that A has happened. So the probability of a happening is already one because it has happened, so it is not going to affect the probability of B happening. Since they are independent events. ",49,0,answer,TRUE
"In a situation where Sir A has already happened, a will be 100%. ",13,1,answer,TRUE
"Joint probability of A&B when A&B are independent of each other, so probably the probability of A and probability of B. If I'm not wrong, I might be. ",28,1,answer,TRUE
"So conditional probability in speech reference that it can be used in multiple ways like I'll give you a few examples which I can come up with right now. One is for when you're having a. Speech. To text models right like the one we are training the. Data for right now. You might not always be able to gather the word which is exactly pronounced, so you're going to use conditional probably to. You have contextual conditions like if I'm saying. Today is a good. The next one is probably going to be day. Because the probability of that occurring is better than today. Is a good. Night or something, right? Right. So you're going to use it to fill in the words which you are ambiguous about or which you're not able to convert back into texts with with 100% surety. ",143,5,answer,TRUE
Like there can be multiple applications. This is one which I could think of right off the top of my head. ,21,1,answer,TRUE
"Yes, Sir, and IDF. ",4,0,answer,TRUE
"The term frequency is basically the frequency of a a particular word occurring in that particular document. That is, the number of number of times that word has occurred in a particular document which we are taking divided by the total number of words in the document. And for idfs, you're taking a set of documents. You set a collection of documents basically, and your call dividing the total number of documents which are there the the log of the total number of documents which are there divided by the number of times the required word is occurring in that document. The term frequency is basically for an individual document, whereas a in what they call the other one IDF is basically for the OR collection of documents where you were looking to find a particular. Word. ",137,5,answer,TRUE
"Sir. SVM. If you're taking a single vector as a support vector, you can use it as a single class classifier only. But if you are taking multiple support vectors and you are forming a grid with that, you may be able to modify it to use it as multiclass classifiers. It is generally use it for a signal for a binary classifier that is classifying into class. And Class B on the basis of one vector line that is one support vector. But if you are able to have a. Function. Of vectors you might be able to classify data into multiple. Classes as well. Not very efficiently, but yeah.",111,0,answer,TRUE
"So the margin is basically the. It's basically the deviation between the positive like the what I call the deviation between the highest and the lowest term which is being classified which is being classified incorrectly. If I'm able to simplify it because you will have a band. In which the support vector will not be able to or may not be able to differentiate between two points because it is, it is looking at the bigger picture and it might be able to. It will be classifying point which belongs to say the lower class is in the upper class and the upper class is in the lower class. So the range where this occurs. Is can can we can be categorized as a margin which is the. Margin of error basically. ",133,7,answer,TRUE
"OK, Sir, Sir. Inheritance is basically, Sir, when you are having a class, let's say. Like inheritance in the common sense of the word is basically when you're inheriting. When you're when you're taking ownership of properties or properties or wealth or whatever you want to consider from your fathers and for fathers. But in the oops paradigm of it, when you're having a class which is defined or. A function which. Is defined and it is performing its. Performing a certain set of tasks, but you're but you're calling that function with a different set of inputs. To augment or to change to augment, or to change the in the the function like the function, the initial the parent function is doing its task as it is, but you're calling it inside a child function where the child function is basically taking in the methods, the inputs and the inputs of the parent. Function and is able to is able to give you the input outputs which the parent function provides and you may be and you will be able to augment it without disturbing the parent function. ",189,8,answer,TRUE
"Set an example. OK, fine. Right now will be, Sir, if you are. Will like if it is something. So if you're having a, if you're having a function which is basically taking an input and adding it and giving it, giving you a return of the summed value. And you're calling and you're inheriting that function into another class. You're where the inputs are the same, but you're calling the function again, so you are going to take the inputs, which is provided to this new class as the inputs to the original class, and you're returning the sum as the return function for the new class, which is taken. Along with any other new operations which you wish to wish to wish to do on the newer class. For example, you can multiply the two numbers or you can subtract the two numbers and provide it as an additional return. ",152,5,answer,TRUE
"I might be. I'm not sure. Sir, like the two concepts are in conflicting in. My head as of now. ",20,0,answer,TRUE
"Sir, it depends on the differences. It is between the architecture, Sir, in convolution neural networks there will be different layers. And the other neural networks will have connected layers. Each network is connect. Each layer is connected to all the different layers. ",43,0,answer,TRUE
"In CNN, we'll be adding only some of the layers conversation neural network. We'll be adding only some base layers. And in the output layer will be adding software softmax activation function. ",32,0,answer,TRUE
"So in fully connected layer we can define like each layer is connected to all the different layers. So in computation it takes time whereas it is best for accuracy because each and every layer is connected to each and every layer. Its computation cost will be more. Computation time will be, whereas in CNN layer CNN layers will be less so it CNN. It is easy to perform analysis Sir. ",71,0,answer,TRUE
"Fully connected only, Sir, because after each in each layer it has to perform processing from that layer only it is going to pass through the other layer because it is connected to each and every layer. The computational cost will be more. ",43,0,answer,TRUE
"Advantage of CNN is that it gives faster results. No Sir. Like it, it doesn't take more time for processing of epochs. Since it is not connected to all the layers for the processing, it takes less time, Sir. ",39,0,answer,TRUE
"Yes, Sir. ",2,0,answer,TRUE
"Sir, in deep neural networks. ",5,0,answer,TRUE
"Sir, since in convolution neural networks there are not much layers, you cannot get more accurate results Sir. ",18,0,answer,TRUE
"Yes, Sir. ",2,0,answer,TRUE
Like you are asking for activation function Sir. ,8,0,answer,TRUE
" Pooling layers. Yes, Sir. In pooling we have maximum and average pooling. That pulling only. ",15,0,answer,TRUE
"Sir, it is used to to like reduce the dimensions Sir. We will be having different inputs. No Sir. So to reduce the dimensions, we of input features, we use pooling layers Sir in that we have maximum pooling and average pooling. ",42,0,answer,TRUE
"Of the input features in average pooling, it is going to take the average value of the features",18,0,answer,TRUE
"A bag of water. Something like. It is a model, Sir, which is used in NLP like we will be retrieving the information from that Sir. Like. How it will be working as first it will be tokenized from that it will be vectorizing Sir. Then there will be representing in the bag of word representation form. ",57,2,answer,TRUE
So it is like in simple or if you have to say like it is a like it is a model which is used to retrieve information in NLP. OK. ,30,1,answer,TRUE
Stop words. Is it like the few stop words like the under this in like these are the common words when we try to filter out during the NLP processor. ,30,1,answer,TRUE
"Like they don't carry a significant meaning, Sir. Like I think like ignoring those words and we'll be continuing the. Process. Sir. ",22,0,answer,TRUE
So it's a fixed Sir. ,5,0,answer,TRUE
"Yes, Sir. ",2,0,answer,TRUE
"Like regularization technique like L1 like few regularization type like L1 regularization, L2 regularization. And. Like L1 regularization. What it will be doing is.Uh.Like it will sum up the coefficient and it will equate to 0 Sir, whereas in L2 regularization it will square the magnitude of the coefficient and it will equate to the zero like it will. Sorry it will square and some of the coefficients. ",68,1,answer,TRUE
"They're bagging is like uh, bootstrap aggregating like. So it is a popular like machine learning techniques Sir. My car. In say I'm sorry so that I'm not sure about it. ",31,0,answer,TRUE
"Well, I am not sure about that Sir. ",8,0,answer,TRUE
"Like stochastic. Gradient estimator. Like root mean square property, OK. ",10,0,answer,TRUE
"The stochastic is. Like it updates the weight in the direction that reduce the loss function, Sir. ",17,0,answer,TRUE
Like gradient descent is. Updated based on the average gradient of the loss function. ,14,0,answer,TRUE
"Sir, like the number of independent columns are there in. The matrix, Sir. ",13,0,answer,TRUE
"It is one, Sir. ",4,0,answer,TRUE
"Yes, Sir. Sorry two sorry 22. ",6,0,answer,TRUE
"Sir, like the two columns are independent on each other, Sir. Like if we take a 2 cross two metrics it is a first column will be A10 and 2nd column will be 01. So both are independent. ",38,0,answer,TRUE
10 by 10 matrix. Also it will become tensor. Then the rank will be 10. ,15,0,answer,TRUE
Will be positive. It will be greater than 0 so. ,10,0,answer,TRUE
Such like the number of bases with us means the independent select the column bases or the normalized form of the column vectors. ,23,0,answer,TRUE
N vectors sir..,3,0,answer,TRUE
"Yes, Sir. ",2,0,answer,TRUE
Then we can't build a easy space. ,7,0,answer,TRUE
So like if the space is more than the basis vectors then it will not be completed now. So like the basis vectors will be less it can't be accommodated in the. Basic space. ,34,0,answer,TRUE
Then the IT will take the size of the basis in space. The size will be considered. To how many vectors can be accepted? It will take that. ,28,1,answer,TRUE
"That like it will convert a time domain to the frequency domain, so it's not a signal. ",17,0,answer,TRUE
Yeah. And also it will be easier to. It analyzes the signal in a frequency domains. ,16,0,answer,TRUE
Frequency domain. ,2,0,answer,TRUE
Sir like... Analyzing the signals. ,5,0,answer,TRUE
Will be getting accurate. Sir. Like we will be getting an accurate plot of the signal when it is in a we can see. Domains. I'm back to the time domain. ,31,1,answer,TRUE
I said. The time frequency resolution will be limited. ,9,0,answer,TRUE
"Uh, like the in time domain, it will be very limited, so like we. Can plot the. Signal up to a limited range only. ",24,0,answer,TRUE
"So, like we don't get the exact plot of the signal, Sir. Like we may miss some parts of the signal. ",21,0,answer,TRUE
Where it can't take it can't take frequency and time domain simultaneously.,12,1,answer,TRUE
Frequency and time domain simultaneously. It is. ,7,0,answer,TRUE
It can't simultaneously get the give both time and frequency. I I I don't get,15,0,answer,TRUE
It is important when we do acepstrum  analysis. These are applications of cepstrum analysis. ,14,1,answer,TRUE
"The cepstrum  is. That one is done. It is spectrum. Spectrum. It is basically spectrum. It is all the spectrum. After analyzing the signal, it gives it from. I mean after analyzing spectrum it does it. ",36,0,answer,TRUE
Yes. ,1,0,answer,TRUE
"OK. We deal with cepstrum , Sir. ",7,0,answer,TRUE
"Spectrum is not like nothing wrong with spectrum, but spectrum is an analyzed signal of spectrum where we. We have proper noise there, sorry. Where we have proper values ",29,2,answer,TRUE
"We can use an FCC, but it's. Where we can have filter bank. Which can filter the signal. If you design something we, if we want to remove the noises, we can. ",32,2,answer,TRUE
Yes Sir. Using DF in in MFCC only using DfT using filter bank. ,13,0,answer,TRUE
yes sir,2,0,answer,TRUE
Filter bank. ,2,0,answer,TRUE
"Yes, Sir. ",2,0,answer,TRUE
NLP sir,2,0,answer,TRUE
"How about we studied about the text And what how Google will give the auto correct and auto suggestions, Of the auto auto suggestion of the things we type. Like for example. ",32,3,answer,TRUE
"If you type anything, you are automatically. Suggestion please. ",9,0,answer,TRUE
No idea sir..,3,0,answer,TRUE
Here TF is term frequency. And IDF is nearst document frequency. ,11,0,answer,TRUE
"So basically, F measures how frequently the term will appear in a document. And in idea it measures how important entire document collection. ",23,2,answer,TRUE
So basically it's used for extract important features one. Speech translator. ,11,0,answer,TRUE
So. It's it's using NLP sir bag of words,9,0,answer,TRUE
"Yeah.He said he gave a. Long information in text data. OK, will receive the information. So basically there are some. ",20,0,answer,TRUE
And this is a. Very it is a simple and effective way to represent the text data. Like classification.. ,19,0,answer,TRUE
Actually I don't have much. Idea about that,8,0,answer,TRUE
probability.,1,0,answer,TRUE
"Yes, Sir. Conditional probability. ",4,0,answer,TRUE
"Sir, when an event is given and we're trying to calculate the next occurrence of the next event given that one event has already occurred, that is conditional probability. ",29,1,answer,TRUE
"Yes, Sir. ",2,0,answer,TRUE
So then it will be 0. ,6,0,answer,TRUE
So the probability of the first event occurring after second event will be zero because they're. ,16,0,answer,TRUE
Then it will be zero..,5,0,answer,TRUE
Yes. ,1,0,answer,TRUE
Yes. ,1,0,answer,TRUE
"Markov saying basically is when we have a sequence of events. When we try to compute the probability of the sequences, we use Markov chain. So one event depends the probability of the occurrence of one event depends only on the previous. Event. And not all the events, it's just the immediate. Previous event so that is Markov. ",58,2,answer,TRUE
So this is first order Markov chain. Like what I. ,10,1,answer,TRUE
"Like first order, Markov chain is where it depends on your the immediate previous state and Markov chains like N number of previous. ",23,1,answer,TRUE
It's a Fourier transform. Is like an operation like kind of an operation that helps us convert. Signals from like. The time domain to the frequency domain. ,27,0,answer,TRUE
"So because in time domain, what we can analyze from the signals is only loudness, but converting it to a frequency domain or like converting it to a spectrum helps us analyze better when it comes. To signals. ",38,2,answer,TRUE
"So because when we have a spectrum, a spectrum is basically frequency over. I mean there are frequency components in the spectrum. It's it's basically in the frequency domain, so. We we can get different other values like parameters that can help us analyze not only loudness. ",47,1,answer,TRUE
Fourier transform. So basically I would say that it's like a very specific thing like when we have Laplace transform that can convert time domain to any other. Domain like it's. It can only convert a frequency domain I think. ,40,1,answer,TRUE
"It's a short time Fourier transform is what we apply on very small frames and in short time Fourier transform. The assumption is that the components are stationary because we we take very small time slots, so it's assumed that the components are stationary at a given particular time. That this is short time for transform, but Fourier transform is applied on the complete signal. ",65,1,answer,TRUE
"A short time Fourier transform is more efficient. No. So computationally I think Fourier transform because there's no breaking down of segments and all. It's just directly applying. On the full signal, that's why. ",34,0,answer,TRUE
Yes. ,1,0,answer,TRUE
Yes. ,1,0,answer,TRUE
"So when we analyze the full signal at once and like when we talk about speech, it's like a container signal. It's very hard to like apply for like we consider it to be an infinite it of infinite length, so it's very hard for us to apply like Fourier transform to the full sequence. That's why we divide it into. Frames. And analyze and that to survive is the speech signal is not stationary, it keeps changing. So it's very hard to apply Fourier transform directly",87,3,answer,TRUE
That is like one of the reason also because it's we we considered to be infinitely long. So it's very hard to apply Fourier transform on the whole signal at once and it it's hard to analyze. Also when you have such large amount of data and like all at once. ,51,1,answer,TRUE
"Yes, and neurons. But yeah, neurons. ",6,0,answer,TRUE
"Sir, the neuron, like one neuron alone, cannot do because like one neuron has inputs and it gives us. An output but. Many, Sir, if we talk about like a simple function like XOR itself, a single neuron cannot perform. So when we have like when we talk about real world scenarios the. Tasks at hand are very huge, so one neuron alone cannot. But when we use a combination of neurons like a network, then we can. Apply them for. ",81,3,answer,TRUE
"So. Yes, Sir, neuron. So one thing is only very simple functions. Very extremely simple functions can be performed by a neuron, but network can perform like huge tasks like classification itself. And a neuron, Maybe a neuron works only for like a single linear boundary. But when we use a combination of neurons, which is like a network, we can create very complex boundaries. Like curves also. ",68,2,answer,TRUE
"So. If you want to find out two vectors are independent or not, we will take a dot product of that and if the dot product is zero, we say. Two vectors are independent. ",34,0,answer,TRUE
"Yes, Sir. ",2,0,answer,TRUE
Uh. Not sure Sir. ,4,0,answer,TRUE
"Sir, if in the in the context of speaking classification, I guess if the vectors are aligned aligned at 90° which which we consider as independent, then I would say yes Sir. Yes, if the for the classifications the vectors needs to be independent. ",44,2,answer,TRUE
"As far as I know it's it is. It is widely used in machine learning algorithms to optimize it. I I'm not, I don't have any insight informations about it. ",30,0,answer,TRUE
"Yes, Sir. ",2,0,answer,TRUE
"Support vector machines we would use when we have a proper labeled data set where the features are labeled to some classes and in the assumption coming to the assumptions part. I guess. We consider the. Really not sure about that assumption, but Sir. ",44,2,answer,TRUE
"My logic is that whenever we have a slash in or A/T which I consider as white space or a tab, I would say or or even a dot or even a dot I would I would based upon those posed upon those parameters, I would split the sentences. ",49,1,answer,TRUE
"This might fail if we have some something like Doctor dot Peta Basa pati where Doctor is where dot is, where where whatever I told is is the whole name and it is. It is your designation. But this fails because it will consider. Not as a dot as the end of a sentence, and it will fit your. ",59,4,answer,TRUE
Yeah. ,1,0,answer,TRUE
"Yes, yes. Yes, Sir, it might fail. ",7,0,answer,TRUE
"So basically, to give you an idea of that we we very well know that the surrounded by particles or molecules that we call and in air what will happen if we speakers when. Speak the the vibrations from our local cart passes out, passes out into our vocal cavity and and it is getting articulated by the by our tongue where the different different waves of pressures, high pressure and low pressures are created in the. Created in the medium which is which passes which get passed because the highest of the high pressure points are called the highs and the low pressure calls are called tough. Those will get those will get. It's like a chain reaction and it will vibrate the other molecule and the other molecule. It trickles the other one and it in such a way it reaches the listener and in listener side the same sound is proper. It perceived in the same same way as the series of vibrations. ",166,5,answer,TRUE
High centers by your your ear drum and new and then you run does the work. Then to perceive the sound. ,21,0,answer,TRUE
"Yes, Sir. It is. We are surrounded by air and it is through airway and but if you are speaking through the yeah, yes it is. It is Airways, it is Airways. It is based upon airway propagation. ",38,0,answer,TRUE
"No, Sir, we won't be able to speak. We would be able to speak if we have special devices which transmits the electromagnetic wave like a telephone or a like a like a walkie-talkie or something. ",36,1,answer,TRUE
"Yes, Sir. Yes, yes, Sir. ",5,0,answer,TRUE
"Yes, surely I would be able to make it make the difference out of it for let's say if you take a verbal verbals used to have high frequency and low energy and verbals, duration is considerably time duration is larger than that of consonants. That's how we differentiate. May the differentiate using the using the spectrum of the wave of waveform. ",62,1,answer,TRUE
