audio no,person no,speaker 1,speaker 2,question,answer
,,And why do you say that? ,"Because sorting takes N log N time in the least case, but taking a sum takes off end time, which is faster than taking a sum. I mean, which is faster than sorting the array. ",And why do you say that? ,"Because sorting takes N log N time in the least case, but taking a sum takes off end time, which is faster than taking a sum. I mean, which is faster than sorting the array. "
,,"Very good, wonderful answer.Thank you very much. ",Ok sir,,
,,Goodnight. ,"Thank you, Sir. Goodnight.",,
,,You can drop off. ,,,
3,3,"So Abhishek, please explain what is the bag of what, Sir? What is a bag of words? Bow in text processing? ","Sir, it is a basic technique used in NLP natural language processing. It represents text data, Sir, by counting frequency of works. In a document. ","explain what is the bag of what, Sir? What is a bag of words? Bow in text processing? ","Sir, it is a basic technique used in NLP natural language processing. It represents text data, Sir, by counting frequency of works. In a document. "
,,So you are saying that bag of words basically is? The frequency of words,Yes sir,So you are saying that bag of words basically is? The frequency of words,Yes sir
,,Then what is Tom frequency? ,Sir. ,Then what is Tom frequency? ,
,,What is Tom frequency TF? ,Don't know sir,What is Tom frequency TF? ,Don't know sir
,,No problem. What is the difference between discrete Fourier transform? And. Discrete cosine transform. ,"So DfT uses complex and assets as basic functions. In cosine functions, results are real valued coefficients. ",What is the difference between discrete Fourier transform? And. Discrete cosine transform. ,"So DfT uses complex and assets as basic functions. In cosine functions, results are real valued coefficients. "
,,OK. Is that all? ,"Applications in yes, Sir. ",OK. Is that all? ,"Applications in yes, Sir. "
,,Is that all of their involved? ,"Maybe, maybe. No, it's it's a DfT, mainly used in frequency analysis, where comes to cosine. Comes to cosine transform. It is mainly used for compressing images. ",Is that all of their involved? ,"maybe. No, it's it's a DfT, mainly used in frequency analysis, where comes to cosine. Comes to cosine transform. It is mainly used for compressing images. "
,,For compressing images?,Yes. ,For compressing images?,Yes. 
,,OK.So let's say you have you are building a speech processing system. OK. ,"OK, Sir. Ohh OK. ",OK.So let's say you have you are building a speech processing system. OK. ,"OK, Sir. Ohh OK. "
,,So your job is basically to. Process the incoming speech. And find out. If the color is using any bad words. OK. Negative words. How will you design this system?,Don't know about this? ,So your job is basically to. Process the incoming speech. And find out. If the color is using any bad words. OK. Negative words. How will you design this system?, Don't know about this?
,,ok no problem..You understand what are sets?,"Yes, Sir. ",You understand what are sets?,"Yes, Sir. "
,,Suppose the intersection of two sets A&B. OK. And the Union of two sets A&B? ,"Yes, Sir. ",Suppose the intersection of two sets A&B. OK. And the Union of two sets A&B? ,"Yes, Sir. "
,,You know what is the set? Do you understand what is the? What is the cardinality of a set? ,"Sir, cardinality, we said so, yes. So cardinality refers to number of elements in a set, Sir. ",You know what is the set? Do you understand what is the? What is the cardinality of a set? ,"Sir, cardinality, we said so, yes. So cardinality refers to number of elements in a set, Sir. "
,,"Very good. Yes, you are right. So now the question is. The cardinality of a Union B. And a intersection B is same. So what do you tell about these two? Sets A&B. ",The cardinality of a Union B. And a intersection B is same. So what do you tell about these two? Sets A&B. ,The cardinality of a Union B. And a intersection B is same. So what do you tell about these two? Sets A&B. ,The cardinality of a Union B. And a intersection B is same. So what do you tell about these two? Sets A&B. 
,,Very good. You are absolutely right. Now suppose the cardinality of a intersection B is 0. What does it tell about sets A&B? ,"So they are, if they are not common Surrey intersection, if they are not having any common intersection elements, so they are not common. ",Now suppose the cardinality of a intersection B is 0. What does it tell about sets A&B? ,"So they are, if they are not common Surrey intersection, if they are not having any common intersection elements, so they are not common. "
,,"OK, very good. Thank you, Abhishek. We'll move on to Harry. ","OK.Yes, Sir. Thank. ",,
,,"Hari, what is the difference between dot product and cross product? ","So dot product cross product we do for the matrix Sir, but dot product we do for the vectors. ",what is the difference between dot product and cross product? ,"So dot product cross product we do for the matrix Sir, but dot product we do for the vectors. "
,,And we will do dot product for matrices. ,"So dot prod we will do especially for the each vector by taking one vector from one matrix, another from another matrix. ",And we will do dot product for matrices. ,"So dot prod we will do especially for the each vector by taking one vector from one matrix, another from another matrix. "
,,Can you do dot product between any 2 vectors? Or is there some some assumptions? ,Yes. And also we can do so. ,Can you do dot product between any 2 vectors? Or is there some some assumptions? ,Yes. And also we can do so. 
,,"OK, suppose I give you 1 vector which is 10 dimensional and another vector which is 3 dimensional. You can do a dot product between them. ",So. Both should be same dimensionals. ,"OK, suppose I give you 1 vector which is 10 dimensional and another vector which is 3 dimensional. You can do a dot product between them. ",So. Both should be same dimensionals. 
,,"OK, what about convolution? ","Convolution. We will have some steps, Sir, like folding, scaling and also shifting to the right words and multiplication additions. ","OK, what about convolution? ","Convolution. We will have some steps, Sir, like folding, scaling and also shifting to the right words and multiplication additions. "
,,Very good. When do we use conversation? ,"When there is a signal and the request signal if we if we need something signal to be outputted, we take two signals. ", When do we use conversation? ,"When there is a signal and the request signal if we if we need something signal to be outputted, we take two signals. "
,,Right. ,"For image processing, we especially do for image processing and signal processing. ",,"For image processing, we especially do for image processing and signal processing. "
,,"It is. OK, so let's say speech is your signal. OK. Let's say speech processing is your signal processing activity. You have speeds and you have to process. ",Yeah. OK. , let's say speech is your signal. OK. Let's say speech processing is your signal processing activity. You have speeds and you have to process. ,Yeah. OK. 
,,"In speech processing, can you give an example of convolution? ",Example of convolution..?,"In speech processing, can you give an example of convolution? ",Example of convolution..?
,,Where in speech processing can you use conversation? ,"So we can use. We can use speech. I mean we can use the convolution speech processing, Sir, especially in the domain of. For filtering purpose we can use. ",Where in speech processing can you use conversation? ,"So we can use. We can use speech. I mean we can use the convolution speech processing, Sir, especially in the domain of. For filtering purpose we can use. "
,,Very good. ,Or getting future extraction. ,,Or getting future extraction. 
,,"Yes, very good. OK. What are the MFCC? What is the MFCC? ",Mel frequency. Convolution Mel Mel frequency cepstral coefficients or MFCC stands for,What are the MFCC? What is the MFCC? ,Mel frequency. Convolution Mel Mel frequency cepstral coefficients or MFCC stands for
,,Very good. What are they? ,"Sir, they are especially for boosting the frequency, Sir. If suppose the human can't hear the voice equally, so we can boost the we mean, if the voice is slow, we can boost using. The mail frequency, Sir. ", What are they? ,"Sir, they are especially for boosting the frequency, Sir. If suppose the human can't hear the voice equally, so we can boost the we mean, if the voice is slow, we can boost using. The mail frequency, Sir. "
,,How how can you boost the voice low voice to high OS by using MFC? ,"Sir, by using high filters and also if high filter is used to reduce the low filter and increase it to high I mean high frequency Sir it reduces the low frequency. ",How how can you boost the voice low voice to high OS by using MFC? ,"Sir, by using high filters and also if high filter is used to reduce the low filter and increase it to high I mean high frequency Sir it reduces the low frequency. "
,,And that you will do with MFCC. ,Not MFC but. ,And that you will do with MFCC. ,Not MFC but. 
,,You know?,So I don't know exactly about this. ,You know?,So I don't know exactly about this. 
,,No problem. No problem. What is the spectrogram? ,"The spectrogram is a representation of frequencies, a spectral of frequencies. ",What is the spectrogram? ,"The spectrogram is a representation of frequencies, a spectral of frequencies. "
,,OK. ,It's like a graph. ,,It's like a graph. 
,,It's like a graph. Anything else? ,Use it to represent the frequency so that we can see how much loudness the voice is and also the amplitude we can see. ,It's like a graph. Anything else? ,Use it to represent the frequency so that we can see how much loudness the voice is and also the amplitude we can see. 
,,Very good. Sure. Thank you very much. Have a good evening guys,"Thank you, Sir. ",,
4,4,Yes. What are the different ways we can transform a speech signal into its? Into its spectral domain so that we can analyze the constituent frequency components present in the signal. ,So can you repeat it again? , What are the different ways we can transform a speech signal into its? Into its spectral domain so that we can analyze the constituent frequency components present in the signal. ,
,,"OK, how can we transform a speech signal? So that we can know which frequency components are present in the signal. ",Like using Fourier transform. Or we will be using windowing and then preprocessing. ,ow can we transform a speech signal? So that we can know which frequency components are present in the signal. ,Like using Fourier transform. Or we will be using windowing and then preprocessing. 
,,"OK, see I have a speech signal I want to. I'm interested in knowing which frequency components are preserved. How would I know that? ",Feature extraction or something? ,I have a speech signal I want to. I'm interested in knowing which frequency components are preserved. How would I know that? ,Feature extraction or something? 
,,What feature extraction? ,Like getting the amplitude or the intensity from the spectrogram. ,What feature extraction? ,Like getting the amplitude or the intensity from the spectrogram. 
,,And how do you generate a spectrogram? ,"Like all the multiple frequency components, we will be plotting with respect to time. ",And how do you generate a spectrogram? ,"Like all the multiple frequency components, we will be plotting with respect to time. "
,,"All frequency components you will plot with respect to time. OK, how would you first know which frequency components are present? ",Based on amplitude of the speech signal. ,"All frequency components you will plot with respect to time. OK, how would you first know which frequency components are present? ",Based on amplitude of the speech signal. 
,,OK so. Can you explain that a little more? ,"Like initially, we'll be plotting the original speech signal and then based on the amplitude. Like, we'll get to know whether the frequency of the speech signal is high at some particular places, or we can even do windowing function where we'll be multiplying two different signals, like one will be the original speech signal and the other one will be a window signal like rectangle or sinusoidal type of signals. And then we'll be getting the output", Can you explain that a little more? ,"Like initially, we'll be plotting the original speech signal and then based on the amplitude. Like, we'll get to know whether the frequency of the speech signal is high at some particular places, or we can even do windowing function where we'll be multiplying two different signals, like one will be the original speech signal and the other one will be a window signal like rectangle or sinusoidal type of signals. And then we'll be getting the output"
,,"OK, so now. How is amplitude related to frequency? ","Amplitude.. Like higher, the amplitude is higher the frequency. Maximum displacement will be the frequency of the speed signal. ", How is amplitude related to frequency? ,"Amplitude.. Like higher, the amplitude is higher the frequency. Maximum displacement will be the frequency of the speed signal. "
,,"OK. So you are saying if the signal is high amplitude, it means it is of high frequency, is that right? ",Like at each time interval it differs. ,"So you are saying if the signal is high amplitude, it means it is of high frequency, is that right? ",Like at each time interval it differs. 
,,What the first frequency or amplitude? ,Amplitude. ,What the first frequency or amplitude? ,Amplitude. 
,,"OK. But. You related that amplitude is related to frequency, right? ",Yes sir,"OK. But. You related that amplitude is related to frequency, right? ",Yes sir
,,So if amplitude is differing from one time window to another time window. Does it imply that the frequency is also changing from one time window to another time window? ,"Like higher the frequency like it corresponds to higher pitch and so even in the amplitude will get to know. Ohh, whether the pitch is high or low",So if amplitude is differing from one time window to another time window. Does it imply that the frequency is also changing from one time window to another time window? ,"Like higher the frequency like it corresponds to higher pitch and so even in the amplitude will get to know. Ohh, whether the pitch is high or low"
,,what is pitch?,pitch.. It. Like producing sound. ,what is pitch?,pitch.. It. Like producing sound. 
,,Pitch is related to amplitude or pitch is related to frequency. ,Pitch is related to amplitude or pitch is related to frequency. ,Pitch is related to amplitude or pitch is related to frequency. ,Pitch is related to amplitude or pitch is related to frequency. 
,,Pitch Consisting of amplitude and space?. ,And even frequency also,Pitch Consisting of amplitude and space?. ,And even frequency also
,,"So you are saying Pitch basically consists of three different things, amplitude, phase and frequency?",I guess sir.,"So you are saying Pitch basically consists of three different things, amplitude, phase and frequency?",
,,"So from one time window when you move to another time window, you said pitch will vary, right? ","Speech will be the same, but then frequency intensity like based on the graph it differs like the visualization plot. ","So from one time window when you move to another time window, you said pitch will vary, right? ","Speech will be the same, but then frequency intensity like based on the graph it differs like the visualization plot. "
,,OK. Very good. You also talked about window windowing. What are the different window functions which are present? ,"Rectangular window and then cosine windowLike in the rectangular window, you can't get and then even Mel frequency MFCC. Also they will be trying that plot. . ",OK. Very good. You also talked about window windowing. What are the different window functions which are present? ,"Rectangular window and then cosine windowLike in the rectangular window, you can't get and then even Mel frequency MFCC. Also they will be trying that plot. . "
,,OK. So how many window functions? ,Sir. ,OK. So how many window functions? ,
,,How many window functions you know of? ,3. ,How many window functions you know of? ,3. 
,,"3. OK, amongst these three, which is which is better? ",Cosine window or hamming window. ,"3. OK, amongst these three, which is which is better? ",Cosine window or hamming window. 
,,OK. And why is it better? ,Because it has overlapping sequences so that we'll get to know which sequence comes after which one. Like if we do windowing and all we can we can keep track of the signal. ,OK. And why is it better? ,Because it has overlapping sequences so that we'll get to know which sequence comes after which one. Like if we do windowing and all we can we can keep track of the signal. 
,,Can't you do overlapping windows even with rectangular window? ,"Yeah, we can do.",Can't you do overlapping windows even with rectangular window? ,"Yeah, we can do."
,,So then why cosine window is better? ,"I'm not very sure, Sir. ",So then why cosine window is better? ,"I'm not very sure, Sir. "
,,Thank you. We move on to vamsi,"Thank you, Sir",,
,,vamsi..,"Yes, Sir. Good evening, Sir. ",,
,,Good evening vamsi OK. You go to the cafeteria. And. You. You buy chips. Some days. And eat it. Other days you buy puff and eat it. OK. ,"Yes, Sir. ",,
,,So in a month. You kept track of what you were doing. And you found that In 20 days you have taken 12 Pops and eight six packets.So what is the probability of you consuming puffs?  ,The probability of consuming proxy is 12 by 20. Whereas consuming chips is 8 by 20. ,So in a month. You kept track of what you were doing. And you found that In 20 days you have taken 12 Pops and eight six packets.So what is the probability of you consuming puffs?  ,The probability of consuming proxy is 12 by 20. Whereas consuming chips is 8 by 20. 
,,"Very good. Now you also next month. What you did is that you kept the data.all right Additionally you had kept the data. The days on which you go and buy pops and chips. What was the weather condition outside? OK, whether the weather was rainy or sunny, cloudy, whatever it is. ",Yes sir..," Now you also next month. What you did is that you kept the data.all right Additionally you had kept the data. The days on which you go and buy pops and chips. What was the weather condition outside? OK, whether the weather was rainy or sunny, cloudy, whatever it is. ",
,,"And you find that given the weather rainy. You are buying chips more given the weather. Sunny more. You are buying puffs more like that. So this kind of probability, what is it called as? ",So this probability can be found out using conditional probability. ,"And you find that given the weather rainy. You are buying chips more given the weather. Sunny more. You are buying puffs more like that. So this kind of probability, what is it called as? ",
,,OK. What is conditional probablity?,"And all, and also these types of problems can be solved using hmm. ",OK. What is conditional probablity?,"And all, and also these types of problems can be solved using hmm. "
,,"Wonderful. Very good. Now, can you please explain conditional probability? ","Conditional probability is like it measures the likelihood of an event, Sir. Because as you said during sunny, you buy this and during maybe a hot day you buy this. Actually it says that for a particular instant how it's going to occur. OK, suppose you can say that first thing buying less is an event day and something other thing. Buying some other thing is an event B. Then you can describe conditional probability as like B of a intersection B / P of B. ",can you please explain conditional probability? ,"Conditional probability is like it measures the likelihood of an event, Sir. Because as you said during sunny, you buy this and during maybe a hot day you buy this. Actually it says that for a particular instant how it's going to occur. OK, suppose you can say that first thing buying less is an event day and something other thing. Buying some other thing is an event B. Then you can describe conditional probability as like B of a intersection B / P of B. "
,,OK. So. So what's the moral of the story? ,Some moral of the story is that we can find the likelihood of event occurring given that. That has already occurred. ,So what's the moral of the story? ,Some moral of the story is that we can find the likelihood of event occurring given that. That has already occurred. 
,,OK.Now let's say two events A&B are independent of each other. ,Yes. Then if it's independent of each other then it will be P of A given B equal to P of A into P of B. ,OK.Now let's say two events A&B are independent of each other. ,Yes. Then if it's independent of each other then it will be P of A given B equal to P of A into P of B. 
,,Will it be? ,Sir. ,Will it be? ,
,,P of A given B equal to P of A into P of B?? ,"yes sir. P of A intersection B will be P of A into P of B As its independent, they both are having. ",P of A given B equal to P of A into P of B?? ,"yes sir. P of A intersection B will be P of A into P of B As its independent, they both are having. "
,,So each intersection conditional probability. ,Sir..,So each intersection conditional probability. ,
,,"Is intersection you said. Intersection of A&B, right? ","So when they are dependent, it will be dependent on intersection. When it's independent, A given B will be just B of A because it's independent of P of B. Then if we take P of B given A, then it will be P of B as it's independent. Of P of A. When they both are dependent on each other, then we can we have to take the intersection. ","Is intersection you said. Intersection of A&B, right? ","So when they are dependent, it will be dependent on intersection. When it's independent, A given B will be just B of A because it's independent of P of B. Then if we take P of B given A, then it will be P of B as it's independent. Of P of A. When they both are dependent on each other, then we can we have to take the intersection. "
,,OK. So let's say you have 1 billion numbers in one computer. OK. And you have For some reason you cannot transfer the data from 1 computer to another computer. OK. And you want to find out what is the mode of this data across the computers? another billion numbers in the same range in another computer? ,I have to find??,OK. So let's say you have 1 billion numbers in one computer. OK. And you have For some reason you cannot transfer the data from 1 computer to another computer. OK. And you want to find out what is the mode of this data across the computers? another billion numbers in the same range in another computer? ,
,,Mode..you know what is mode?,"Mode. Yes, yes. Mean, median mode actually actually mode is we use mode in statistics.actually it says that. The value that appears mostly in the particular that we can say that's the most occurred in the data. ",Mode..you know what is mode?,"Mode. Yes, yes. Mean, median mode actually actually mode is we use mode in statistics.actually it says that. The value that appears mostly in the particular that we can say that's the most occurred in the data. "
,,"Correct. Absolutely. Right now, how do you find the mode of the data across these two computers? ","Sir, I don't have exact idea. ", how do you find the mode of the data across these two computers? ,"Sir, I don't have exact idea. "
,,"OK, very good. Can you explain function overloading in object oriented programming? ","It's a function overloading is nothing, but it's a concept where we can have two functions with same name, but it should differ either in number of arguments or type of the argument that's called function overloading. Suppose if you have a function such as int, add of int, a comma, int B, then you can have another function with the same name that is. But it should differ in number of arguments. That's India, including C or otherwise it's. It should differ in type of argument that string a string B like that. That's called function overloading. ", Can you explain function overloading in object oriented programming? ,"It's a function overloading is nothing, but it's a concept where we can have two functions with same name, but it should differ either in number of arguments or type of the argument that's called function overloading. Suppose if you have a function such as int, add of int, a comma, int B, then you can have another function with the same name that is. But it should differ in number of arguments. That's India, including C or otherwise it's. It should differ in type of argument that string a string B like that. That's called function overloading. "
,,Wonderful. Thank you very. Much. ,"Yes, good. Thank you. Goodnight. ",,
5,5,"OK.So, Mayank, how are you feeling? ","I'm feeling good today, Sir. I I'm excited to play badminton today. ",,
,,"OK, very good. OK. So let's start with the Viva. Can you explain what is short time Fourier transform? ","Short term Fourier transform, Sir. I know what is Fourier transform. Signal representation from time domain to frequency domain is Fourier transform. Short term Fourier transfer. I'm not so sure so. ",Can you explain what is short time Fourier transform? ,"Short term Fourier transform, Sir. I know what is Fourier transform. Signal representation from time domain to frequency domain is Fourier transform. Short term Fourier transfer. I'm not so sure so. "
,,OK. And how does Fourier transform help represent the signal? ,Helping make it. Show that the frequency component of the signal in a better manner. So by doing the frequency analysis we can get to know various things about the signal. ,OK. And how does Fourier transform help represent the signal? ,Helping make it. Show that the frequency component of the signal in a better manner. So by doing the frequency analysis we can get to know various things about the signal. 
,,OK. So when we take a signal like a speech signal. ,Yes. ,OK. So when we take a signal like a speech signal. ,
,,And we do have Fourier transform. Do we get the frequency components directly or we have to do something on the Fourier transformed values? To get the frequency components. ,I'm not sure ,And we do have Fourier transform. Do we get the frequency components directly or we have to do something on the Fourier transformed values? To get the frequency components. ,I'm not sure 
,,OK.Does Fourier transform have any limitations? ,Not sure.,OK.Does Fourier transform have any limitations? ,Not sure. 
,,"No problem. OK, you have studied the convolutional neural networks, right? ","Yes, Sir.","you have studied the convolutional neural networks, right? ",
,,OK. So in the convolutional neural networks. ,"Yes, Sir. ",So in the convolutional neural networks. ,
,,Do we really do convolution? ,So there is a a filter that what you say. Suppose there's a network N cross N so one cross north. Layer is I'm not sure if it's clear. It is slided throughout the 5 + 5 matrix. So yes Sir convolution. I think so happens. ,Do we really do convolution? ,So there is a a filter that what you say. Suppose there's a network N cross N so one cross north. Layer is I'm not sure if it's clear. It is slided throughout the 5 + 5 matrix. So yes Sir convolution. I think so happens. 
,,What is the difference between convolution and cross correlation? ,Not sure Sir,What is the difference between convolution and cross correlation? ,Not sure Sir
,,OK. What is the difference between convolution and dot product? ,So. Dot products are it is like uh. Uh. Not sure how to put in words. ,OK. What is the difference between convolution and dot product? ,So. Dot products are it is like uh. Uh. Not sure how to put in words. 
,,No problem. Think and let me. Know. ,OK. ,,
,,"Take a few seconds, think about it and then. You can tell also. ","So dot product is like simple multiplication of two things, whereas in convolution we're sliding 1. Thing across so to get an output. ",,"So dot product is like simple multiplication of two things, whereas in convolution we're sliding 1. Thing across so to get an output. "
,,"Very good. Yes, you are. You are right now, would you also like to comment on? From convolution and dot product perspective, the vector lengths. ","Yeah. Yeah. So in what do you say in convolution? If you're doing linear convolution, if you're convoluting between two different matrices, the length of the maximum length of the output can be. Suppose the length of the first matrix is L1 and 2nd matrix is L2. The maximum length of the output I mean the length of the output will be L1. Yes. No, yeah, LL 2 -. L one plus one. Whereas in if you do circular convolution, the both of the material length have. To be same. Right. And again in dot product, I guess, Sir, it should be same the length of both of them. "," would you also like to comment on? From convolution and dot product perspective, the vector lengths. ","Yeah. Yeah. So in what do you say in convolution? If you're doing linear convolution, if you're convoluting between two different matrices, the length of the maximum length of the output can be. Suppose the length of the first matrix is L1 and 2nd matrix is L2. The maximum length of the output I mean the length of the output will be L1. Yes. No, yeah, LL 2 -. L one plus one. Whereas in if you do circular convolution, the both of the material length have. To be same. Right. And again in dot product, I guess, Sir, it should be same the length of both of them. "
,,OK. Does dot product produce a scalar value or it's a vector? ,So dot produces scalar value. , Does dot product produce a scalar value or it's a vector? ,So dot produces scalar value. 
,,OK. Can you tell me one one scenario where that product is used in in engineering applications? ,"Sir, if you work with work, and I mean. I'm not sure, maybe somewhere it has application in. Electrical engineering, part of what shows. ",Can you tell me one one scenario where that product is used in in engineering applications? ,"Sir, if you work with work, and I mean. I'm not sure, maybe somewhere it has application in. Electrical engineering, part of what shows. "
,,"OK. So we are applying it in electrical engineering and teaching it to computer science students. Anyway, no problem, no problem. You have studied about lemmatization and stemming, right? ","Yes, yes","So we are applying it in electrical engineering and teaching it to computer science students. Anyway, no problem, no problem. You have studied about lemmatization and stemming, right? ",
,,Can you tell me what's the difference between stemming and lemmatization? ,"So stemming is basically chopping it topic screw chopping, Sir. So suppose we have words like running ran. It will be chopped out to run, so we are not losing the information make like make it simpler. Whereas in limitation suppose the words are is am, be. All are chopped off to bee. So it is more computationally intensive and better than standing. ",Can you tell me what's the difference between stemming and lemmatization? ,"So stemming is basically chopping it topic screw chopping, Sir. So suppose we have words like running ran. It will be chopped out to run, so we are not losing the information make like make it simpler. Whereas in limitation suppose the words are is am, be. All are chopped off to bee. So it is more computationally intensive and better than standing. "
,,Can you do lemmatization for a single word? ,"For a single. Yes, Sir. I mean, if you call, you can. ",Can you do lemmatization for a single word? ,"For a single. Yes, Sir. I mean, if you call, you can. "
,,And what about stemming? You can do stemming for a single word. ,I mean. I guess I'm not sure. ,And what about stemming? You can do stemming for a single word. ,I mean. I guess I'm not sure. 
,,No problem. So when we are producing speech. ,Yes. ,So when we are producing speech. ,
,,"Our trachea, which is basically the. Throat pipe. OK, that acts like a pipe, which mostly determines the resonant frequency Leading to the formant frequencies which are produced.  ",Yes. OK. OK. Yes. ,"Our trachea, which is basically the. Throat pipe. OK, that acts like a pipe, which mostly determines the resonant frequency Leading to the formant frequencies which are produced.  ",
,,Now does this track? Yeah. Act like a open-ended pipe. That is two side open-ended or one side open-ended pipe. ,"Means. So we produce speech from blank, so I guess it's one side length. ",Now does this track? Yeah. Act like a open-ended pipe. That is two side open-ended or one side open-ended pipe. ,"Means. So we produce speech from blank, so I guess it's one side length. "
,,"OK. So you understand what is one side open-ended pipe right? Suppose you are you are taking your ball pen, OK. ","Yes, yes, Sir. ","OK. So you understand what is one side open-ended pipe right? Suppose you are you are taking your ball pen, OK. ",
,,And like it is renal pain or something you have. ,Yes. ,And like it is renal pain or something you have. ,
,,Where you just unscrew it and put that the the the catteries and then they can close it. ,"We will, yeah, yes. ",Where you just unscrew it and put that the the the catteries and then they can close it. ,
,,"The other end is closed. The plate or the hole through which you are blowing, that is the slate through which the air will come out.So now can you think and let me know. ","So you're saying that if you blow through the top side like, the air will come to the other side, you're saying, Sir? ","The other end is closed. The plate or the hole through which you are blowing, that is the slate through which the air will come out.So now can you think and let me know. ","So you're saying that if you blow through the top side like, the air will come to the other side, you're saying, Sir? "
,,"No, it will come only through that side only because it is one side open. The other side is closed. ","OK.Only one side is open through our mouth, so I think that's one side only. ","No, it will come only through that side only because it is one side open. The other side is closed. ","OK.Only one side is open through our mouth, so I think that's one side only. "
,,OK. Thank you very much Mayank. ,ok sir,,
,,"OK. Good morning, Pranav. ","Good morning, Sir. ",,
,,How are you feeling today? ,"I'm good, Sir. What about you? ",,
,,"I'm also good.Yeah, in a very relaxing mode, exams are over. ","Yes, Sir. I was looking forward to a long weekend, but we have a Saturday working so 1/2 day in the middle. Of two holidays. Not the best of feeling, but but. ",,
,,"Right. OK, so I'll ask you some probability related questions, OK. ",Sure sir,,
,,You remember what is the Bayes theorem? ,"Yes, Sir. ",You remember what is the Bayes theorem? ,"Yes, Sir. "
,,Can you tell me what it is? ,"So baye's theorem. Basically it is coming down to. It is saying that when when you're taking a probability distribution or probability curve that. The probability the dependencies of the probability, like if you're taking. Uh. Is it if you're having a conditional probability? Basically, if A is given so that B is given, you're taking it such that probability of a given B probability of a given B is the probability of a by probability of a divided by probability of B. It's a whatever. It basically talks about you having the knowledge of. And you having the information of the prior event which has occurred so that you can find the probability of the event which is occurring in the future. ",Can you tell me what it is? ,"So baye's theorem. Basically it is coming down to. It is saying that when when you're taking a probability distribution or probability curve that. The probability the dependencies of the probability, like if you're taking. Uh. Is it if you're having a conditional probability? Basically, if A is given so that B is given, you're taking it such that probability of a given B probability of a given B is the probability of a by probability of a divided by probability of B. It's a whatever. It basically talks about you having the knowledge of. And you having the information of the prior event which has occurred so that you can find the probability of the event which is occurring in the future. "
,,"Yeah, so since then. ","So basically probability of. Like I'm being very vague about it, like I'll be able to write as a formula down, but while explaining I'm getting a little vague. So basically it's property of",,"So basically probability of. Like I'm being very vague about it, like I'll be able to write as a formula down, but while explaining I'm getting a little vague. So basically it's property of"
,,"If you want it you, you can. If you want, you can probably write it and then probably tell it. That's also fine. ","Yeah.So basically when it comes down to it is, you will have probability of. E given A is equal to the probability of the call. E / E divided by probability of the probability of E given a divided by probability of. Probably. If a into probability of a divided by the probability of a. So when you're having two events where one is related to the other, you're taking the probability of two the two independent events dividing it by the probability of the initial event happening. So this way it helps you establish a relation between the chain of events which are occurring. ","If you want it you, you can. If you want, you can probably write it and then probably tell it. That's also fine. ","Yeah.So basically when it comes down to it is, you will have probability of. E given A is equal to the probability of the call. E / E divided by probability of the probability of E given a divided by probability of. Probably. If a into probability of a divided by the probability of a. So when you're having two events where one is related to the other, you're taking the probability of two the two independent events dividing it by the probability of the initial event happening. So this way it helps you establish a relation between the chain of events which are occurring. "
,,Very good. So you said independent events. Now suppose two events A&B. They are independent. OK. And you already know event A has happened. ,Event A has happened,So you said independent events. Now suppose two events A&B. They are independent. OK. And you already know event A has happened. ,Event A has happened
,,What would be the conditional probability? Of B given a. ,Does the probability of event be happening? ,What would be the conditional probability? Of B given a. ,
,,"So you are saying if and we are independent, they won't influence each other? ","Yeah, because like if A&B are happening are have are, are independent and you're saying that A has happened. So the probability of a happening is already one because it has happened, so it is not going to affect the probability of B happening. Since they are independent events. ","So you are saying if and we are independent, they won't influence each other? ","Yeah, because like if A&B are happening are have are, are independent and you're saying that A has happened. So the probability of a happening is already one because it has happened, so it is not going to affect the probability of B happening. Since they are independent events. "
,,"OK, very good. So what will be the joint probability? Of A&B in this situation. ","In a situation where Sir A has already happened, a will be 100%. ", So what will be the joint probability? Of A&B in this situation. ,"In a situation where Sir A has already happened, a will be 100%. "
,,"No, no. What I meant is what would be the joint probability of A and? B. When A&B are independent of each other. ","Joint probability of A&B when A&B are independent of each other, so probably the probability of A and probability of B. If I'm not wrong, I might be. ","No, no. What I meant is what would be the joint probability of A and? B. When A&B are independent of each other. ","Joint probability of A&B when A&B are independent of each other, so probably the probability of A and probability of B. If I'm not wrong, I might be. "
,,"Very good. Yeah, that is right. No, that is right because the conditional probability doesn't exist, it becomes the probability of each event independently","Yes, Sir. "," that is right because the conditional probability doesn't exist, it becomes the probability of each event independently",
